"variable","porcentaje_nas","n_nas","n_total"
"E61R4",99.9799095931693,9953,9955
"E61R5",99.9296835760924,9948,9955
"E61R2",99.8593671521848,9941,9955
"E61R7",99.8392767453541,9939,9955
"E61R3",99.809141135108,9936,9955
"C04",99.7790055248619,9933,9955
"E62R3",99.7388247112004,9929,9955
"E61R6",99.7187343043697,9927,9955
"E60R5",99.6383726770467,9919,9955
"E60R3",99.5479658463084,9910,9955
"E62R2",99.537920642893,9909,9955
"E60R6",99.4876946258162,9904,9955
"E62R4",99.4676042189854,9902,9955
"E61R1",98.7845303867403,9834,9955
"E60R1",98.774485183325,9833,9955
"importe_alojamiento",98.6338523355098,9819,9955
"E60R2",98.3525866398795,9791,9955
"importe_escuela_idiomas",98.3224510296334,9788,9955
"importe_clases_apoyo",97.2877950778503,9685,9955
"importe_oposiciones_pruebas_acceso",97.0467101958815,9661,9955
"importe_ampliacion_horario",96.7754897036665,9634,9955
"importe_transporte",96.7453540934204,9631,9955
"E62R1",96.6649924660974,9623,9955
"importe_otros_estudios",95.7709693621296,9534,9955
"E60R4",95.6102461074837,9518,9955
"importe_ensenanzas_artisticas",94.9673530889001,9454,9955
"importe_otros_servicios",94.9573078854847,9453,9955
"importe_otros_bienes",93.7920642893019,9337,9955
"importe_muebles_accesorios",92.8076343545957,9239,9955
"importe_actividades_extraescolares",92.1546961325967,9174,9955
"importe_clases_particulares",92.1245605223506,9171,9955
"importe_productos_informaticos",89.6032144650929,8920,9955
"importe_comedor",89.0708186840784,8867,9955
"importe_estudios_idiomas_no_reglados",87.7850326469111,8739,9955
"importe_uniformes",83.7970868910095,8342,9955
"importe_cuota_ampa",83.0336514314415,8266,9955
"servicio_ampliacion_horario",82.9633350075339,8259,9955
"gasto_total_servicios_no_reglados",79.3169261677549,7896,9955
"importe_actividades_complementarias",78.884982420894,7853,9955
"importe_fotocopias",77.0266197890507,7668,9955
"servicio_transporte",69.1913611250628,6888,9955
"servicio_clases_apoyo",69.1913611250628,6888,9955
"servicio_actividades_extraescolares",69.1913611250628,6888,9955
"servicio_actividades_complementarias",69.1913611250628,6888,9955
"servicio_cuota_ampa",69.1913611250628,6888,9955
"gasto_uniformes",69.0808638874937,6877,9955
"importe_libros",65.7056755399297,6541,9955
"importe_papeleria",63.5459568056253,6326,9955
"servicio_comedor",58.9352084379709,5867,9955
"servicio_alojamiento",58.9352084379709,5867,9955
"servicio_otros",58.9352084379709,5867,9955
"servicio_clases_particulares",58.9352084379709,5867,9955
"C01",57.9608237066801,5770,9955
"C03",57.9608237066801,5770,9955
"importe_matricula_clases",57.9608237066801,5770,9955
"gasto_total_servicios_reglados",57.9608237066801,5770,9955
"E59",57.9608237066801,5770,9955
"gasto_total_bienes",54.856855851331,5461,9955
"gasto_libros",50.748367654445,5052,9955
"gasto_fotocopias",50.748367654445,5052,9955
"gasto_papeleria",50.748367654445,5052,9955
"gasto_muebles_accesorios",50.748367654445,5052,9955
"gasto_productos_informaticos",50.748367654445,5052,9955
"gasto_otros_bienes",50.748367654445,5052,9955
"gasto_total_educacion",50.748367654445,5052,9955
"gasto_total_servicios",50.748367654445,5052,9955
"NORDEN",0,0,9955
"IDHOGAR",0,0,9955
"TMUNI",0,0,9955
"NHOGAR",0,0,9955
"EHOGAR",0,0,9955
"SEXO",0,0,9955
"EDAD",0,0,9955
"NACIONALIDAD",0,0,9955
"ESTUDIANTE",0,0,9955
"REGLADO",0,0,9955
"NOREGLADO",0,0,9955
"NEST",0,0,9955
"NEST2",0,0,9955
"FACTOR",0,0,9955
